title,siglum,century,provenance,srclink,cursus,num_century
CZ-Pkvk Ms 6,CZ-Pkvk Ms 6,15th century,"Praha, Vyšehrad",https://hymnologica.cz/source/10683,,15
Antiphonarium Sedlecense,CZ-Pu XIII A 6,13th century,"monasterium Sedlec, OCist",https://hymnologica.cz/source/10710,,13
Antiphonarium Cisterciense - Antifonář královny Alžběty Rejčky,CZ-R R 600,14th century,,https://hymnologica.cz/source/10653,,14
I-Bc : Q 03 (Fr 019),I-Bc Q 03 (Fr 019),13th century,Italie Centrale,http://musmed.eu/source/32401,Romanum,13
A-Wn : Cod Ser nova 3645,A-Wn Cod Ser nova 3645,9th century,Sud-Est Allemagne,http://musmed.eu/source/15086,,9
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0206",CDN-Mrb MS Medieval 0206,15th century,,https://cantusdatabase.org/source/693648,,15
CH-ROM : Ms. liturg. FiD 5,CH-ROM Ms. liturg. FiD 5,13th century,Abbaye de Haut-Crêt (?),http://musmed.eu/source/97795,,13
CZ-Bm (Brno) A 7115,CZ-Bm A 7115,13th century,,https://cantusbohemiae.cz/source/13209,,13
D-KA : Lichtenthal 002,D-KA Lichtenthal 002,12th century,Abbaye cistercienne de Lichtenthal,http://musmed.eu/source/11249,,12
D-Mbs : Clm 23621,D-Mbs Clm 23621,12th century,"Italie, zone de Benevento",http://musmed.eu/source/12375,,12
E-Bbc (Barcelona) M 1147,E-Bbc M 1147,12th century,Monasterio de Sant Pere d'Àger (Lleida),https://musicahispanica.eu/source/20246,,12
E-Bbc (Barcelona) M 785,E-Bbc M 785,16th century,La Seu d'Urgell (Lleida),https://musicahispanica.eu/source/20231,,16
E-Bbc (Barcelona) Ms. 1458,E-Bbc Ms. 1458,16th century,Monasterio de Santa Clara (Barcelona),https://musicahispanica.eu/source/20243,,16
E-Sco (Sevilla) Institución Colombina Libro 052,E-Sco Libro 052,16th century (first half),"Sevilla (E), Catedral",https://pemdatabase.eu/source/66704,Secular,16
F-G : Ms 84 (Ms. 395 Rés.),F-G Ms 84 (Ms. 395 Rés.),12th century,à l’usage de la Grande Chartreuse (provenant du monastère des Ecouges ?,http://musmed.eu/source/10075,,12
F-NS : Ms 0004,F-NS Ms 0004,12th century,Valence,http://musmed.eu/source/12600,,12
F-Pn : Lat. 2819,F-Pn Lat. 2819,11th century,"Paris, France",http://musmed.eu/source/13130,,11
F-Pn : NAL 1414,F-Pn NAL 1414,12th century,"Italie, Diocèse de Milan,  Morimondo, Sancte Marie de Morimundo",http://musmed.eu/source/28426,,12
F-Pn : NAL 1669,F-Pn NAL 1669,12th century,Gubbio,http://musmed.eu/source/13547,,12
NL-Uu : Hs. 0415,NL-Uu Hs. 0415,15th century,Maastricht,http://musmed.eu/source/15626,,15
P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 016,P-AR Res. Ms. 016,1485-1486 ,,https://pemdatabase.eu/source/61147,Monastic,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta P 280,P-G P 280,14th cent.,,https://pemdatabase.eu/source/82560,,14
P-VV (Vila Viçosa) Biblioteca do Palácio Real A.M. D-005,P-VV A.M. D-005,1621,,https://pemdatabase.eu/source/78888,,17
PL-WRu I F 411 Cistercian Gradual (Silesia),PL-WRu I F 411,13th century,"Cistercians, Lubiąż (Silesia) - Cistercians, Kamieniec Ząbkowicki (Silesia)",https://cantusplanus.pl/source/13707,,13
"Zamora, Biblioteca Diocesana V/4092","Zamora, Zamora, Biblioteca Diocesana V/4092",16th century,Toledo Cathedral,https://musicahispanica.eu/source/111154,cathedral,16
E-Tsd (Toledo) s s.,E-Tsd s s.,16th century,Monasterio de Santo Domingo el Antiguo (Toledo),https://musicahispanica.eu/source/118841,,16
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 015","P-EVp Pasta 3, doc. 015",13th - 14th century,,https://pemdatabase.eu/source/102237,,13
"SK-BBa (Banská Bystrica) ANTIPHONARIUM Varia, No. 35","SK-BBa (Banská Bystrica) Antiphonarium Varia, No. 35",14th century,Slovakia / medieval Hungary,https://cantus.sk/source/32163,,14
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 031","P-EVp Pasta 3, doc. 031",13th century,,https://pemdatabase.eu/source/108507,,13
CZ-Pu (Praha) 59 R 5116,CZ-Pu 59 R 5116,15th century,Bohemia,https://cantusbohemiae.cz/source/33046,,15
"P-EVp (Évora) Biblioteca Pública Pasta 3, doc. 006","P-EVp Pasta 3, doc. 006",late 14th cent.,"Évora, Catedral",https://pemdatabase.eu/source/101288,unknown,14
SK-KRE (Kremnica) Copier buech 1624–1626,SK-KRE Copier buech 1624–1626,15th century,medieval Hungary,https://cantus.sk/source/32311,,15
SK-BRsa Inv.Nr. 193/1-2,SK-BRsa Palffy 193,15th century,Slovakia,https://cantus.sk/source/13695,,15
CZ-Pu (Praha) XXIII D 156,CZ-Pu XXIII D 156,13th century,St George's convent in Prague,https://cantusbohemiae.cz/source/9308,,13
"E-VI (Vic) Ms. 122, f. 13 (olim 5391)","E-VI Ms. 122, f. 13 (olim 5391)",13th century,,https://musicahispanica.eu/source/22963,,13
"Quito, Iglesia de San Francisco - Archivo, 18P16",EC-Qsf 18P16,16th century (1575-1600),Franciscan,https://cantusdatabase.org/source/669907,Secular,16
SK-BRsa Acta anni Sedlak Nr. 10,SK-BRsa Leles 10,14th century,Slovakia / Hungary,https://cantus.sk/source/13704,,14
V-CVbav : Archivio di San Pietro F.22,V-CVbav Archivio di San Pietro F.22,13th century,"Italie, Roma, S. Pietro",http://musmed.eu/source/14749,,13
A-KN Fragm. 019 Antiphonarium,A-KN Fragm. 19,12th century,Klosterneuburg,https://austriamanus.org/source/22,,12
"E-VI (Vic) Ms. 122, f. 6 (olim 5391)","E-VI Ms. 122, f. 6 (olim 5391)",12th century,,https://musicahispanica.eu/source/22960,,12
SK-KE (Kežmarok) Breviarium Ms 1746 (MS Kž),SK-KE (Kežmarok) sign. Ms 1746 (MS Kž),15th century,Hungary (Spiš region),https://cantus.sk/source/31691,,15
E-PAMan (Pamplona) Partitura n. 253,E-PAMan Partitura n. 253,15th century,,https://musicahispanica.eu/source/127983,,15
E-PAMan (Pamplona) Partitura n. 259,E-PAMan Partitura n. 259,15th century,,https://musicahispanica.eu/source/128016,,15
E-PAMan (Pamplona) Partitura n. 149,E-PAMan Partitura n. 149,14th century,,https://musicahispanica.eu/source/127001,,14
P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 017,P-AR Res. Ms. 017,1800,"Arouca, Mosteiro de Santa Maria",https://pemdatabase.eu/source/76063,Monastic,19
P-EVc (Évora) Arquivo da Sé CEC 13-IX,P-EVc CEC 13-IX,c. 1400,,https://pemdatabase.eu/source/91609,,15
E-PAMan (Pamplona) Partitura n. 230,E-PAMan Partitura n. 230,13th century,,https://musicahispanica.eu/source/127805,,13
H-Efkö MS I. 3. a – Graduale Wladislai,H-Efkö MS I. 3. a,16th century,Buda?,https://hun-chant.eu/source/1332,,16
A-KN CCl 0424 Antiphonarium (Fragm.),A-KN CCl 424,13th century,Austria,https://austriamanus.org/source/4778,,13
A-KN CCl 0714 Breviarium (Fragm.),A-KN CCl 714,14th century,Austria,https://austriamanus.org/source/5074,,14
E-PAMan (Pamplona) Partitura n. 141,E-PAMan Partitura n. 141,13th century,,https://musicahispanica.eu/source/126890,,13
Jistebnice Kancionál,CZ-Pn II C 7,15th century,Praha,https://hymnologica.cz/source/7017,,15
CZ-Pu (Praha) XIII C 7,CZ-Pu XIII C 7,14th century,St George's Convent in Prague,https://cantusbohemiae.cz/source/2155,,14
"SK-BRsa Antiphonarium Scepusiense Protoc. XX Anni 1551-1559, 1618-1632",SK-BRsa Spis 1551,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13834,,15
SK-Lap (Levoča) Antiphonarium MMLE XXII/258,SK-Lap (Levoča) MMLE XXII/258,14th century,Hungary,https://cantus.sk/source/29837,,14
P-Cm (Coimbra) Biblioteca Municipal FPM-B50-07,P-Cm FPM-B50-07,c. 1400,,https://pemdatabase.eu/source/46541,Secular,15
"Connecticut, Private collections, D:07lvz",Cantus D:07lvz,13th century,,https://cantusdatabase.org/source/1000007,Monastic,13
A-KN CCl 0258 Diurnale (Fragm.),A-KN CCl. 258,14th century,Klosterneuburg,https://austriamanus.org/source/4394,,14
E-PAMan (Pamplona) partitura n. 92,E-PAMan partitura n. 92,13th century,,https://musicahispanica.eu/source/97681,,13
SK-BJ (Bardejov) Antiphonarium MMBJ 2285,SK-BJ (Bardejov) MMBJ 2285,14th century,Hungary,https://cantus.sk/source/29802,,14
A-KN CCl 0054 Antiphonarium (Fragm.),A-KN CCl. 54,14th century,Klosterneuburg,https://austriamanus.org/source/3275,,14
A-KN CCl 0831 Antiphonarium (Fragm.),A-KN CCl. 831,13th century,Klosterneuburg,https://austriamanus.org/source/4138,,13
F-Pn : Lat. 9425,F-Pn Lat. 9425,12th century,"France, Auxerre, abbaye Saint-Marien d'Auxerre",http://musmed.eu/source/13283,Romanum,12
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 013 (olim Caixa 250, nº 24)",P-BRad Pasta 013,"13th century, first half",,https://pemdatabase.eu/source/46525,,13
SK-BRnm (Bratislava) MUS I 9,SK-BRnm MUS I 9,14th century,Slovakia,https://cantus.sk/source/210,,14
SK-BRsa Breviarium Bibliotheca Capituli Posoniensis Manus. 81,SK-BRsa Manus.81,12th century,Austria,https://cantus.sk/source/13890,,12
SK-KREm (Kremnica) Antiphonarium A 6,SK-KREm Antiphonarium A 6,15th century,OFM,https://cantus.sk/source/32550,,15
SK-KRE (Kremnica) Antiphonarium Gemainer Stadt 1643,SK-KRE Gemainer Stadt 1643,15th century,OFM,https://cantus.sk/source/32258,,15
E-Sco (Sevilla) Institución Colombina Libro 063,E-Sco Libro 063,16th century (1st half),,https://pemdatabase.eu/source/72340,Secular,16
"Vyšehradský antifonář – Antiphonal of Vyšehrad, vol. 3",A-VOR Cod. 259/III,14th century,,https://hymnologica.cz/source/11127,,14
Antiphonale Ordinis sanctae Clarae seu sancti Francisci,CZ-OLu M IV 6,15th century,Monasterium monialium sanctae Clarae seu sancti Francisci,https://hymnologica.cz/source/10695,,15
Antiphonarium Plsnense,CZ-PLm 504 C 004,17th century,Plzeň / Pilsna,https://hymnologica.cz/source/10674,,17
Antiphonarium,CZ-Pu I D 20,14th century,"monasterium Třeboň, OSA",https://hymnologica.cz/source/10721,,14
Kutnohorský graduál – Graduale of Kutná Hora,CZ-Pu XXIII A 2,,,https://hymnologica.cz/source/10610,,
F-Pn : Lat. 1135,F-Pn Lat. 1135,11th century,St. Martial de Limoges,http://musmed.eu/source/13066,,11
A-KN CCl 0415 Breviarium (Fragm),A-KN CCl 415,12th century,Austria/Germany,https://austriamanus.org/source/4783,,12
A-KN CCl 0654 Breviarium (Fragm.),A-KN CCl 654,13th century,Austria,https://austriamanus.org/source/5069,,13
A-KN Fragm. 037 Breviarium,A-KN Fragm. 37,13th century,Austria/Germany,https://austriamanus.org/source/40,,13
F-Pn : Lat. 8883,F-Pn Lat. 8883,11th century,Abbaye de Marmoutier (dioc. de Tours),http://musmed.eu/source/13268,,11
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (11),P-Cua IV-3ª Gav. 44 (11),c. 1200,,https://pemdatabase.eu/source/97408,Secular,13
CH-SGs : Cod 394,CH-SGs Cod 394,11th century,St Gallen,http://musmed.eu/source/14301,Monastic,11
DK-Kk : GKS 1335 4°,DK-Kk GKS 1335 4°,9th century,Est de la France,http://musmed.eu/source/11404,,9
E-Bbc (Barcelona) M 706,E-Bbc M 706,15th century,,https://musicahispanica.eu/source/20229,,15
E-Tc (Toledo) 73.29,E-Tc 73.29,16th century,Toledo Cathedral,https://musicahispanica.eu/source/111117,cathedral,16
F-AN : Ms 0091,F-AN Ms 0091,10th century,"France, Abbaye Saint-Pierre d’Angers (?) puis abbaye Saint-Aubin",http://musmed.eu/source/8452,,10
"P-Cua (Coimbra) Arquivo Distrital e da Universidade Estante XVI, tab.5, nº 5",P-Cua Estante XVI tab 5 no 5,14th century (2nd quarter),"Coimbra, Catedral",https://pemdatabase.eu/source/46517,Secular,14
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0239",CDN-Mrb MS Medieval 0239,13th century (1275-1300),Troyes,https://cantusdatabase.org/source/1000102,,13
I-FROas : Collezione delle permamene 82 (99),I-FROas Collezione delle permamene 82 (99),12th century,Italie,http://musmed.eu/source/15487,,12
F-ME : Ms 732 (15),F-ME Ms 732 (15),11th century,France,http://musmed.eu/source/21649,,11
E-PAMan (Pamplona) Partitura n. 181,E-PAMan Partitura n. 181,14th century,,https://musicahispanica.eu/source/127320,,14
E-PAMan (Pamplona) partitura n. 58 olim 4/1,E-PAMan partitura n. 58 olim 4/1,12th century,,https://musicahispanica.eu/source/96965,,12
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta N 043,P-G N 043,13th century,,https://pemdatabase.eu/source/80447,,13
"SK-KRE (Kremnica) Antiphonarium Grey file folder, nr. 2","SK-KRE Grey file folder, nr. 2",15th century,OFM,https://cantus.sk/source/32590,,15
A-KN Fragm. 446 Antiphonarium,A-KN Fragm. 446,12th century,?,https://austriamanus.org/source/114,,12
A-KN : Cod 73,A-KN Cod 73,13th century,"Autriche, Klosterneuburg",http://musmed.eu/source/17327,,13
"Porrentruy, Bibliothèque cantonale jurassienne, 18 (Bellelay Gradual)",CH-P 18,12th century,Bellelay Abbey,https://cantusdatabase.org/source/638308,Monastic,12
CZ-Pak (Praha) P VII,CZ-Pak P VII,14th century,Prague,https://cantusbohemiae.cz/source/11999,,14
CZ-Pn (Praha) XIII B 2,CZ-Pn XIII B 2,14th century,Bohemia,https://cantusbohemiae.cz/source/11621,,14
CZ-Pu (Praha) XIII A 5c,CZ-Pu XIII A 5c,15th century,Bohemia,https://cantusbohemiae.cz/source/11620,,15
CZ-R (Rajhrad) R 396,CZ-R R 396,13th century,Rajhrad,https://cantusbohemiae.cz/source/7157,,13
CZ-R (Rajhrad) R 418,CZ-R R 418,12th century,Břevnov monastery,https://cantusbohemiae.cz/source/11622,,12
D-B : Ms mus 40078,D-B Ms mus 40078,12th century,Quedlinburg,http://musmed.eu/source/8817,,12
D-BAa : Msc Lit 7,D-BAa Msc Lit 7,11th century,Seeon (Haute-Bavière),http://musmed.eu/source/8678,,11
D-DS : Hs 0545,D-DS Hs 0545,14th century,Bombogen (à Wittlich),http://musmed.eu/source/9518,,14
D-Ful : Aa 0006,D-Ful Aa 0006,12th century,Abbaye bénédictine de Weingarten,http://musmed.eu/source/9974,,12
D-Mbs : Clm 14965b,D-Mbs Clm 14965b,11th century,St. Michel de Bamberg > St-Emmeram de Regensburg,http://musmed.eu/source/12295,,11
E-Bbc (Barcelona) M 648,E-Bbc M 648,15th century,,https://musicahispanica.eu/source/20225,,15
E-Bbc (Barcelona) M 784,E-Bbc M 784,16th century,,https://musicahispanica.eu/source/20230,,16
F-LA : Ms 239,F-LA Ms 239,9th century,"France, Laon",http://musmed.eu/source/11599,,9
F-Pn : Lat. 10510,F-Pn Lat. 10510,11th century,Abbaye d’Echternach,http://musmed.eu/source/13330,,11
F-Pn : Lat. 10754,F-Pn Lat. 10754,10th century,Jésuites du Collège de Clermont à Paris,http://musmed.eu/source/13338,,10
H-Efkö MS I. 1 a-b – Graduale Strigoniense Thomae Card. Bakócz I-II.,H-Efkö MS I. 1 a-b,15th century,Esztergom,https://hun-chant.eu/source/1295,,15
RO-Sb Ms. 759 – Graduale Brassoviense,RO-Sb Ms. 759,15th century,Braşov,https://hun-chant.eu/source/1344,,15
"SK-BRa EC Lad. 3, EL 18 – Missale notatum Strigoniense","SK-BRa EC Lad. 3, EL 18",14th century,Bratislava,https://hun-chant.eu/source/1536,,14
SK-BRl (Bratislava) Rkp. 387 Missale Notatum,SK-BRl Rkp. 387,13th century,Scandinavia,https://cantus.sk/source/26226,,13
SK-BRnm (Bratislava) Cantionae sacrae,SK-BRnm MUS I 92,17th century,Slovensko - Bratislava,https://cantus.sk/source/22967,,17
"SK-KRE (Kremnica) Graduale Tom. 1, Fons 41, Fasc. 3, Nro. 54, 1582","SK-KRE Tom. 1, Fons 41, Fasc. 3, Nro. 54, 1582",15th century,Germany (OCist),https://cantus.sk/source/32517,,15
SK-Sk (Spišska Kapitula) Graduale Scepusiense,SK-Sk Graduale Scepusiense Nr.1,15th century,Slovakia,https://cantus.sk/source/6778,,15
"Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 23-42, no. 40b","D-TRs Fragmentenbox 12b, Fragment 23-42, no. 40b",12th century,Germany,https://cantusdatabase.org/source/697865,,12
"SK-BRsa Arm. VI, Lad. 3, Fasc. 4, Nr. 8",SK-BRsa Palffy VI 3 4 8,14th century,Central Europe,https://cantus.sk/source/13700,,14
E-PAMan (Pamplona) Partitura n. 210,E-PAMan Partitura n. 210,13th century,,https://musicahispanica.eu/source/127525,,13
"E-SE, Antiphonale officii, Nº 25","E-SE, Nº 25",14th century,Segovia,https://musicahispanica.eu/source/19878,,14
E-TAha (Tarragona) Ms. 20/3 (olim Ms. 6.2),E-TAha Ms. 20/3 (olim Ms. 6.2),11th century,Nalec (Lleida),https://musicahispanica.eu/source/23209,,11
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (78),P-Cug MM 1063 (78),13th century,,https://pemdatabase.eu/source/47287,unknown,13
F-Pn : NAL 1236 (2r-2v ; 179r-180v),F-Pn NAL 1236 (2r-2v ; 179r-180v),11th century,Nevers,http://musmed.eu/source/158279,Monastic,11
F-VN : Ms 0084,F-VN Ms 0084,12th century,Italie,http://musmed.eu/source/15488,Romanum,12
E-Mh (Madrid) Cód. 120,E-Mh Cód. 120,12th century,,https://musicahispanica.eu/source/111689,,12
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 052 (olim Caixa 249, nº 14)",P-BRad Pasta 052,12th century,,https://pemdatabase.eu/source/47221,,12
SK-BJ (Bardejov) Antiphonarium MMBJ 1805,SK-BJ (Bardejov) MMBJ 1805,14th century,Hungary,https://cantus.sk/source/29810,,14
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (54),P-Cug MM 1063 (54),13th century,,https://pemdatabase.eu/source/98981,,13
P-VV (Vila Viçosa) Biblioteca do Palácio Real A.M. D-008,P-VV A.M. D-008,1622,,https://pemdatabase.eu/source/78886,,17
SK-BRsa Antiphonarium Scepusiense Protocol 1550-1557,SK-BRsa Spis 1550,15th century,Slovakia - Spišská Kapitula,https://cantus.sk/source/13837,,15
SK-TN (Trenčín) MMTN – Kn/I-32,SK-TN MMTN – Kn/I-32,15th century,Slovakia/Central Europe (?),https://cantus.sk/source/28829,,15
SK-Bra (Bratislava) EC Lad.2/45,SK-Bra ECLad.2/45,14th century,Slovakia,https://cantus.sk/source/10962,,14
E-VI (Vic) Fragmento V/6,E-VI Fragmento V/6,12th century,Archivo Capitular de Vic (Barcelona),https://musicahispanica.eu/source/111252,,12
GB-Ob : Ms Canon. Liturg. 0342,GB-Ob Ms Canon. Liturg. 0342,13th century,"Dalmatia, Ragusa (Dubrovnik), Abbaye Benedictine St Marie de Dubrovnik",http://musmed.eu/source/119661,,13
"H-Bn Clmae 172a, 172b – Graduale Cassoviense I-II","H-Bn Clmae 172a, 172b",16th century,Košice,https://hun-chant.eu/source/1314,,16
SK-Bra (Bratislava) EC Lad.1/2,SK-Bra ECLad.1/2,13th century,Germany,https://cantus.sk/source/10948,,13
"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2147.C53 1500z (Adair Chant Book)",US-KClbsc M2147.C53 1500z,15th century (1475-1500),Spain,https://cantusdatabase.org/source/699262,Monastic,15
"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0210",CDN-Mrb MS Medieval 0210,15th century (2nd half),Italy,https://cantusdatabase.org/source/693669,,15
P-BRs (Braga) Arquivo da Sé Frag. 003,P-BRs Frag. 003,15th cent.,,https://pemdatabase.eu/source/80224,Secular,15
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta N 099,P-G N 099,13th cent.,,https://pemdatabase.eu/source/80538,Secular,13
SK-KREe (Kremnica) Antiphonarium 338,SK-KREe Antiphonarium 338,15th century,Poland,https://cantus.sk/source/32558,,15
"P-BRad (Braga) Arquivo Distrital Pasta de fragmentos, 036",P-BRad Pasta 036,early 13th century; early 16th century,,https://pemdatabase.eu/source/129866,Secular,13
P-BRam (Braga) Arquivo Municipal Nº 010 Códices,P-BRam Nº 010 Códices,12th - 13th cent.,,https://pemdatabase.eu/source/80147,Secular,12
F-Pn : Lat. 9436,F-Pn Lat. 9436,11th century,France Abbaye royale de Saint-Denis,http://musmed.eu/source/15586,,11
P-Cua (Coimbra) Arquivo Distrital e da Universidade III-1ªD-3-1-058 + III-1ªD-3-5-069 A,P-Cua III-1ªD-3-1-058 + III-1ªD-3-5-069 A,c. 1600,,https://pemdatabase.eu/source/118898,,17
SK-Brl (Bratislava) R 15301,SK-BRl R15301,15th century,Bohemia,https://cantus.sk/source/4993,,15
P-Cug (Coimbra) Biblioteca Geral da Universidade MM 1063 (83),P-Cug MM 1063 (83),16th century,,https://pemdatabase.eu/source/100132,,16
E-PAMan (Pamplona) Partitura n. 246,E-PAMan Partitura n. 246,16th century,,https://musicahispanica.eu/source/127909,,16
SK-BRnm (Bratislava) MUS I 14,SK-BRnm MUS I 14,14th century,Slovakia,https://cantus.sk/source/214,,14
E-PAMan (Pamplona) Partitura n. 154,E-PAMan Partitura n. 154,14th century,,https://musicahispanica.eu/source/127054,,14
E-PAMan (Pamplona) Partitura n. 177,E-PAMan Partitura n. 177,14th century,,https://musicahispanica.eu/source/127245,,14
"SK-KRE (Kremnica) Antiphonarium Tom. 2, Fons 23, Fasc. 1, Nro. 44, 1611","SK-KRE Tom. 2, Fons 23, Fasc. 1, Nro. 44, 1611",15th century,Germany,https://cantus.sk/source/32566,,15
D-BAa : Msc Bibl. 79,D-BAa Msc Bibl. 79,12th century,Allemagne,http://musmed.eu/source/8660,,12
V-CVbav : Archivio di San Pietro D.167,V-CVbav Archivio di San Pietro D.167,11th century,"Alsace, Wissembourg",http://musmed.eu/source/14729,,11
E-PAMan (Pamplona) partitura 100,E-PAMan partitura 100,13th century,,https://musicahispanica.eu/source/97888,,13
E-Mn (Madrid) U/908,E-Mn U/908,,,https://musicahispanica.eu/source/119266,,
E-SI (Santo Domingo de Silos) L2-e66,E-SI L2-e66,,Santo Domingo de Silos,https://musicahispanica.eu/source/119737,,
P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (15),P-Cua IV-3ª Gav. 44 (15),13th cent.,,https://pemdatabase.eu/source/97453,,13
E-PAMan (Pamplona) Partitura n. 256,E-PAMan Partitura n. 256,15th century,,https://musicahispanica.eu/source/128002,,15
E-PAMan (Pamplona) Partitura n. 268,E-PAMan Partitura n. 268,15th century,,https://musicahispanica.eu/source/128066,,15
E-PAMan (Pamplona) partitura n. 37 olim 3/5,E-PAMan partitura n. 37 olim 3/5,12th century,,https://musicahispanica.eu/source/96078,cathedral,12
E-PAMan (Pamplona) partitura n. 64 olim 5/1,E-PAMan partitura n. 64 olim 5/1,12th century,,https://musicahispanica.eu/source/97041,cathedral,12
E-PAMan (Pamplona) Partitura n. 120,E-PAMan Partitura n. 120,13th century,,https://musicahispanica.eu/source/126620,,13
P-EVad (Évora) Arquivo Distrital AHMEVR 098,P-EVad AHMEVR 098,13th century,,https://pemdatabase.eu/source/47263,Secular,13
F-Pn : Lat. 2142,F-Pn Lat. 2142,11th century,Abbaye cistercienne de Bonport (dioc. Evreux) ; Entra en 1732 à la Bibliothèque royale. Anc. cotes : Colbert 2784 ;Regius 4021,http://musmed.eu/source/13107,Monastic,11
SK-KE (Kežmarok) Breviarium 12257,SK-KE (Kežmarok) sign. 12257,13th century,Austria/Germany,https://cantus.sk/source/31675,,13
A-KN Fragm. 111 Breviarium,A-KN Fragm. 111,12th century,Austria/Germany,https://austriamanus.org/source/49,,12
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 41, Fasc. 5, Nro. 89, 1595","SK-KRE Tom. 1, Fons 41, Fasc. 5, Nro. 89, 1595",15th century,Bohemia,https://cantus.sk/source/32526,,15
E-Bbc (Barcelona) Ms. 3199,E-Bbc Ms. 3199,15th century,Cataluña,https://musicahispanica.eu/source/20252,,15
E-PAMan (Pamplona) Partitura n. 263,E-PAMan Partitura n. 263,16th century,,https://musicahispanica.eu/source/128052,,16
E-PAMan (Pamplona) Partitura n. 286,E-PAMan Partitura n. 286,16th century,,https://musicahispanica.eu/source/128216,,16
E-TUY (Tuy) Archivo Capitular de la Catedral de Tuy Fragmento 014,E-TUY Fragmento 014,c. 1400,"Tui (E), Catedral",https://pemdatabase.eu/source/72321,Secular,15
"SK-KRE (Kremnica) Antiphonarium Tom. 1, Fons 36, Fasc. 5, Nro. 110, 1553","SK-KRE Tom. 1, Fons 36, Fasc. 5, Nro. 110, 1553",15th century,medieval Hungary,https://cantus.sk/source/32454,,15
E-PAMan (Pamplona) Partitura n. 213,E-PAMan Partitura n. 213,13th century,,https://musicahispanica.eu/source/127550,,13
P-G (Guimarães) Arquivo Municipal Alfredo Pimenta C 1369,P-G C 1369,12th cent.,,https://pemdatabase.eu/source/80022,Secular,12
SK-BRnm (Bratislava) MUS I 6,SK-BRnm MUS I 6,15th century,Slovakia,https://cantus.sk/source/207,,15
SK-KE (Kežmarok) Antiphonarium Ms 1748 (MS Kž),SK-KE (Kežmarok) sign. Ms 1748 (MS Kž),14th century,Hungary (Spiš region),https://cantus.sk/source/31692,,14
P-VV (Vila Viçosa) Biblioteca do Palácio Real A.M. A-003,P-VV A.M. A-003,17th century,"Vila Viçosa, Capela Ducal",https://pemdatabase.eu/source/96558,unknown,17
A-KN CCl 0025 Antiphonarium (Fragm.),A-KN CCl. 25,12th century,Austria/Germany,https://austriamanus.org/source/3901,,12
A-KN CCl 0026 Graduale (Fragm.),A-KN CCl. 26,14th century,Klosterneuburg,https://austriamanus.org/source/4044,,14
CDN-Tu (Toronto) E-4 138,CDN-Tu E-4 138,16th century,Toledo Cathedral,https://musicahispanica.eu/source/111163,cathedral,16
CH-Cobodmer : C 0074,CH-Cobodmer C 0074,11th century,"Italie, Rome, Ste Cecilia in Trastevere",http://musmed.eu/source/9492,,11
CH-SGs : Cod 340,CH-SGs Cod 340,11th century,St Gallen,http://musmed.eu/source/14274,,11
CH-SGs : Cod 374,CH-SGs Cod 374,11th century,St Gallen,http://musmed.eu/source/14286,,11
CH-SGv : VadSlg Ms 0295,CH-SGv VadSlg Ms 0295,11th century,Kapelle Peter und Paul in Rotmonten bei St.Gallen,http://musmed.eu/source/14258,,11
D-BAa : Msc Lit 6,D-BAa Msc Lit 6,11th century,Regensburg St. Emmeram,http://musmed.eu/source/8677,,11
D-DS : Hs 1946,D-DS Hs 1946,11th century,"Belgique, Echternach",http://musmed.eu/source/9535,,11
D-Kl : Theol. quart 0015,D-Kl Theol. quart 0015,11th century,Kaufungen (puis entré en 1527 à la bibliothèque de Kassel),http://musmed.eu/source/11376,,11
D-Mbs : Clm 03005,D-Mbs Clm 03005,9th century,"Bavière, Andechs, Abbaye bénédictine d'Andechs",http://musmed.eu/source/12134,,9
F-AUT : Ms S 0010 (8*),F-AUT Ms S 0010 (8*),12th century,Autun,http://musmed.eu/source/8573,,12
F-CA : Ms 0075 (76),F-CA Ms 0075 (76),11th century,"France, Arras, Abbaye Saint-Vaast d'Arras",http://musmed.eu/source/9073,,11
